,channel_email,channel_mobile,channel_social,channel_web,difficulty,duration,offer_completed,offer_id,offer_received,offer_type,offer_view,person,reward,time_completed,time_start,time_view,total,time_validity,amount
20,1,1,0,1,10,168,4.0,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,868317b9be554cb18e50bc68484749a2,2,132.0,0,,5.0,168.0,12.03
23,1,1,0,1,10,168,4.0,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,4beeb3ed64dd4898b0edf2f6b67426d3,2,120.0,0,,5.0,168.0,2.2
62,1,1,0,1,10,168,4.0,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,8b70ca1f5f5a45bdac2ac2f990b71526,2,168.0,0,,5.0,168.0,29.44
81,1,1,0,1,5,168,4.0,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,52f0bd64403f4958ab8fe9a6947c13c3,5,582.0,0,,5.0,168.0,9.2
101,1,0,0,1,20,240,4.0,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,88baa20c29a94178a43a7d68e5f039d4,5,132.0,0,,5.0,240.0,25.73
126,1,1,0,1,10,168,4.0,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,2481f1fcfbcb4b288e5a03af02d95373,2,0.0,0,,5.0,168.0,30.03
152,1,1,0,1,5,168,4.0,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,bf2c086d4c4049289df1e0c8ea08f55c,5,156.0,0,,5.0,168.0,5.05
173,1,0,0,1,20,240,4.0,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,2a01c11fdcc441bcbdc842c35adccb2f,5,102.0,0,,5.0,240.0,33.32
187,1,0,0,1,20,240,4.0,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,1a297cc7262d42b59fb3e34fe0166702,5,216.0,0,,5.0,240.0,6.34
196,1,0,0,1,20,240,4.0,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,327d08559d564f13b6aaf681700c2e6e,5,210.0,0,,5.0,240.0,21.63
204,1,0,0,1,20,240,4.0,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,a4579681ffca49cfbff6f5453a49bf76,5,198.0,0,,5.0,240.0,12.47
